criteria_id,criteria_name,criteria_name_ko,applies_to,description,severity
required-properties,Required Properties,필수 속성,all,문서 타입별 필수 속성이 비어있는 경우 개선 제안,critical
status-rule,Status Rule,Status 규칙,action-item,업무 티켓의 Status가 Date 기준에 맞지 않는 경우 개선 제안,critical
missing-content,Missing Content,핵심 내용 누락,all,해당 문서 성격에 필수적인 내용이 완전히 누락된 경우 개선 제안,high
structural-issues,Structural Issues,구조적 문제,all,IT 기술 조직 표준 대비 비합리적인 문서 구조인 경우 개선 제안,medium
emoji-overuse,Emoji Overuse,이모지 과다 사용,all,전체 문서 텍스트 대비 이모지 비율이 5%를 초과하는 경우 개선 제안,low
readability,Readability,가독성,all,긴 문단이 나눠지지 않거나 불렛 포인트/서식이 부족한 경우,medium
notion-style,Notion Style,Notion 스타일,all,헤딩(H1~H3) 인용구 콜아웃 등 Notion 네이티브 스타일 미활용,low
table-usage,Table Usage,표 활용,all,구조적으로 설명해야 하는 복잡한 내용을 줄글로 작성한 경우,medium
context-incomplete,Context Incomplete,Context 미완성,action-item,업무 티켓의 Context가 충분히 작성되지 않은 경우 관련 문서 추천,high
title-content-mismatch,Title-Content Mismatch,제목-내용 불일치,all,문서 제목이 본문 내용을 정확히 반영하지 못하는 경우,high
logical-flow,Logical Flow,논리적 흐름,all,섹션 순서가 부자연스럽거나 내용 전개가 논리적이지 않은 경우,medium
term-inconsistency,Term Inconsistency,용어 비일관성,all,동일 개념에 다른 용어 혼용,low
undefined-abbreviation,Undefined Abbreviation,미정의 줄임말,all,기술조직 공통 줄임말 외 정의 없이 사용된 약어 (사용자 입력으로 정의 추가),medium

